更新时间,#genre#
20260622-09-02-44,url


RespoTime,whitelist,#genre#
247.69ms,CCTV1,https://t.freetv.fun/live/cctv1-4.m3u8
534.13ms,CCTV1,http://60.4.30.177:8077/rtp/239.253.92.83:8012
526.44ms,CCTV1,http://39.77.24.219:4002/rtp/239.253.254.77:8000
532.26ms,CCTV1,http://121.29.215.105:2083/rtp/239.253.92.83:8012
531.74ms,CCTV1,http://114.226.212.155:8787/rtp/239.49.8.19:9614
327.04ms,CCTV1,https://t.freetv.fun/live/cctv1-7.m3u8
519.66ms,CCTV1,http://39.77.159.240:4002/rtp/239.253.254.77:8000
527.66ms,CCTV1,http://39.77.159.13:4002/rtp/239.253.254.89:8000
247.09ms,CCTV1,https://t.freetv.fun/live/cctv1-3.m3u8
527.01ms,CCTV1,http://114.226.212.154:8787/rtp/239.49.8.129:6000
181.39ms,CCTV1,https://t.freetv.fun/live/cctv1-8.m3u8
347.58ms,CCTV1,https://t.freetv.fun/live/cctv1-11.m3u8
532.55ms,CCTV1,http://221.220.128.207:8012/rtp/239.3.1.129:8008
533.72ms,CCTV1,http://116.2.162.41:4010/rtp/232.0.0.27:1234
534.22ms,CCTV1,http://1.192.241.97:8188/rtp/239.16.20.1:10010
527.58ms,CCTV1,http://59.174.162.239:4022/rtp/239.254.96.96:8550
532.18ms,CCTV1,http://39.77.24.219:4002/rtp/239.253.254.89:8000
284.43ms,CCTV1,https://t.freetv.fun/live/cctv-1-2.m3u8
519.70ms,CCTV1,http://114.226.212.155:8787/rtp/239.49.8.129:6000
312.90ms,CCTV1,https://t.freetv.fun/live/cctv-1-3.m3u8
525.07ms,CCTV1,http://39.77.159.240:4002/rtp/239.253.254.89:8000
315.56ms,CCTV1,https://t.freetv.fun/live/cctv1.m3u8
525.88ms,CCTV1,http://171.8.168.212:8800/rtp/239.16.20.1:10010
522.10ms,CCTV1,http://39.77.159.13:4002/rtp/239.253.254.77:8000
532.06ms,CCTV1,http://123.118.54.216:8686/rtp/239.3.1.129:8008
